short_description,category_list
"Compassionate, Forceful Approach",Legal
Happy Hearts Preschool offers supplementary activities to enhance child-learning experience.,"Child Care,Children,Education"
Nytilus is developing a novel computational imaging technology for industrial applications.,"Artificial Intelligence,Computer,Graphic Design,Robotics"
"Sync-Rx, Ltd. (the Company) is to optimize and facilitate trans-catheter cardiovascular interventions using automated online image","Biotechnology,Medical,Medical Device"
The Gupta Partnership is an international marketing and communications company.,"Telecommunications,Renewable Energy,Marketing"
NavarraTech specializes in variable income trading algorithms for financial market.,"Financial Services,FinTech,Information Services"
"Tigar Tyres is manufactures tires. The company offers passenger, light truck, truck, and agricultural tires.","Automotive,Manufacturing"
Magical productivity apps for day-to-day life.,"Apps,Information Technology,Software"
ZTR Control Systems designs and manufactures innovative monitoring and control systems for railway and industrial applications.,"Industrial,Information Technology,Internet"
Curbd is a private held company.,
"Founded in 2009 and based in Koblenz, Germany, Numenus specializes in interactive rendering directly from NURBS (Non-Uniform Rational",Software
TARO Ventures is a venture capital firm aiming to support Japanese startups.,"Financial Services,Venture Capital"
Chitale Digitals is a software company located in Sangli.,"Software Engineering,Computer,Software"
"Alice Technologies develops construction-engineering software for general contractors, subcontractors, and real estate developers.","Construction,Innovation Management,Real Estate"
"International, Ranking sites ","Association,Non Profit"
A premier confrence and thought leadership organization for the restaurant industry running an event every 18 months.,
"At BetaRoads, We use the power of Artificial Intelligence to fix Roads.",Artificial Intelligence
100%Open is a specialist open innovation agency that helps large organisations create value by innovating with others.,Innovation Management
"Ganttic is an online platform for resource planning, scheduling, and project portfolio management. ","Career Planning,Enterprise Software,SaaS,Software"
"Oil field Services: Patented groundbreaking closed loop water related technologies, for cost efficient hydraulic Frac including recycling","Energy,Information Technology,Renewable Energy"
Amish Health Solutions,Health Care
Connecting Designers & Developers,"App Discovery,App Marketing,Application Performance Management"
"Par-3 Golf Course, Driving Range and State of the Art Training Facilities",Golf
Typography design and cloud hosted webfonts,"CRM,Information Technology,Software"
"Ibistic Technologies offer web-based services specially designed for accounts payable, procurement and expense management.",Software
"Hak Consulting Services is a consulting company that specializes in analysis and design of solutions, process flow charts.","Consulting,Professional Services"
Create your Mobile Event App easily with WonderApp!,"Events,Information Technology,Mobile Apps"
Viewersfacts is a trusted name when it comes to revealing the facts of products online.,"Product Design,Product Research,Product Search"
"Providing services to architects, consultants, piling and foundation engineers, construction companies, developers","Consulting,Information Technology,Innovation Management"
Weäó»re a gathering of experienced HR and business professionals,"Human Resources,Information Technology"
Investment bank focused on media.,
DeltaNu specializing in small footprint and handheld Raman spectroscopy instruments.,"Electronics,Manufacturing"
"Palmer Metals has been sourcing jewellery findings and jewellery making supplies for small manufacturing jewellers, silversmiths.","Retail,Fashion,Jewelry,Manufacturing"
Southeast Asia's leading vintage and preloved luxury fashion recommerce platform,"E-Commerce,E-Commerce Platforms,Fashion,Jewelry,Women's"
"The Linguistic Data Consortium is an international non-profit supporting language-related education, research and technology development.","Association,Education,Non Profit"
"Specialized Builderäó»s Hardware is specialized in windows, doors, and garage doors repair, upgrade, and replacement.",
"Boutique de vente en ligne d'huiles essentielles, diffuseurs et de produits de cosmí©tique bio.","Cosmetics,Pharmaceutical"
"Solaris manufactures specialized bioprocessing equipment for biotech, pharmaceutical, food, beverage, + dairy industries.","Biotechnology,Food Processing,Life Science"
Catamount Ventures focuses on investing in early stage startups. We back world-class entrepreneurs with a plan to change the world through,"CleanTech,Education,Venture Capital"
Saas,
Hedge Fund Hotel are the hedge Fund Consultants for your Hedge and Malta Fund Investment and Maintenance.,"Asset Management,Consulting,Incubators,Legal"
Westwood Health Foods Market provides a nutritious way to shop for organic and natural products at reasonable prices.,"Health Care,Food and Beverage,Nutrition"
Praktikum.Info is the established career portal for all those who are looking for an internship.,"Communities,Education,Internet,Leisure"
"In the era of easy and fast movement of people and goods over long distances, hygiene takes on special significance.",Facilities Support Services
Wi-Fi Security äóñ The Rise and Fall of WPS,"Security,Service Industry,Wireless"
MBL A/S manufactures and markets wheelchair components. ,"Industrial,Machinery Manufacturing,Plastics and Rubber Manufacturing"
PushButton Labs develops interactive flash and social games for social networks and mobile devices.,"Social Media,Software,Video Games"
Comatch is an online marketplace for independent management consultants and industry experts.,"Consulting,Internet,Recruiting"
Scollab is a network that allows students to share and study with fellow classmates on the web.,"Education,Internet,Internet of Things"
Angelcare Monitors. For your peace of mind.,"Robotics,Virtual Reality"
Enterprise Sofware Provider,Software
Garupa is an Uber style service for motorcycles in Brasil. ,"Automotive,Logistics,Transportation"
BetaBlox is a seed accelerator/business incubator designed to help start-up companies achieve a higher likelihood of success at a faster,Incubators
Messerschmitt-Bí_lkow-Blohm was a German aerospace manufacturer formed as the result of several mergers in the late 1960s.,Manufacturing
"Seo Marketing consultant is a service that our digital marketing agency in Arlington, TX provide PPC, web design, and more.","Advertising,Consulting,SEO"
"Greene Rubber Company, in business since 1931, has extensive capabilities in rubber processing including molding, extruding.",Manufacturing
Junzilan Capital is an investment firm.,"Finance,Financial Services"
"EchoSat, Inc. provides payments security, managed firewall and network solutions for retail outlets in many vertical markets.","Information Technology,Security,Software,Telecommunications,Virtual Reality"
"Continuously evolving cloud email security. Providing DLP, anti-spam, anti-phishing, anti-malware and encryption.",Cloud Security
"Provider of Desktop as a Service, Virtual Datacenter, and Enterprise Networking Services.","Information Technology,Internet,Telecommunications"
Ibis Networks is a data management software provider for businesses to track their electrical usage.,"Energy Efficiency,Internet of Things,Power Grid,SaaS"
"RCCS organization, provides an array of services for cancer-stricken patients in need.",Health Care
MLhuillier is a company to provide the immediate financial needs of its target market.,"Financial Services,Finance,Insurance"
"AdTheorentäó»s machine learning technology powers predictive targeting, predictive creative, and self-learning insights.","Ad Network,Advertising"
"OwnMutually is a crowdfunding platform that provides a way to plan, organize, and pool funds together as a group.","Crowdfunding,Financial Services,Venture Capital"
Ganttify provides gantt chart add on for project management software.,"Project Management,Software"
A newly formed blank check company.,Financial Services
Grupo Fuertes is an agro-food company.,Food and Beverage
The future of electric mobility made accessible to everyone.,"Consumer Electronics,Electronics"
"Coleadium, Inc is a full service, privately held performance marketing company that operates the A4D Performance Affiliate Network.",Advertising
DAVCO is a roofing and waterproofing company located in North Carolina.,Real Estate
Color Harmony Experts is a consulting company that supports the manufacturing industry by delivering a comprehensive solution.,"Industrial Engineering,Industrial Manufacturing"
"Veddis is an independent investment advisory firm based in Gibraltar, with a major branch in London.","Finance,Financial Services"
Topic-based Social Network,"Blogging Platforms,E-Commerce,Events,Public Relations"
Peak Timbers is a plantation forest and sawmilling company.,"Forestry,Paper Manufacturing,Timber"
"Merah Putih provides mentorship, infrastructures, seed funds, and support services to tech and digital startups.",Incubators
"Based in Denver Colorado, Denver Metro I",Search Engine
GlobalSadaqah.com is an Ethis Ventures Islamic Crowdfunding platform.,"Crowdfunding,Funding Platform,Internet"
Trumpet Awards Foundation is the accomplishments of Black Americans who have succeeded against immense odds.,Events
iHerb.com is a web-based platform that sells nutritional supplements and other healthy products in the United States and internationally.,"Beauty,E-Commerce,Food and Beverage,Health Care,Medical,Retail"
"UPSMEIER POWER SYSTEMS AG is a service advice and sale of UPS systems,batteries,rectifiers,compensation systems and power electronics.","Energy,Electronics,GreenTech"
Genedrive is a UK biotechnology company focusing on innovative diagnostic tools and pharmacogenomics.,"Biopharma,Biotechnology,Health Diagnostics"
HowPeoplePay.com is a Payment Service Provider founded by a dedicated international team of experienced payment processing professionals.,"E-Commerce,Financial Services,Payments,Risk Management,Transaction Processing"
Clevork is a visual time tracking tool that helps your team increase revenue without working additional hours.,"Data Integration,Data Visualization"
Prodigy Labs is a product development service organisation,Product Design
"Levitas, Inc. is redefining cellular analytics with its novel platform magnetic levitation technology","Analytics,Biotechnology,Health Diagnostics,Therapeutics"
Mobile Ad Tracking & ROI Analytics for App Advertisers,"Analytics,Apps,Mobile Advertising,SaaS"
"Fralock is a specialty materials company that designs, engineers, and manufactures high-performance components and subassemblies.","Electronics,Manufacturing"
Honda Xcelerator is a program designed for tech innovators across all funding stages who seek to transform the mobility experience.,Financial Services
The Easiest Way To Start a Video Advertising Campaignä‹¢,"Advertising,Artificial Intelligence,Machine Learning,Video,Video Editing"
Drive N Style is the industry leader for vehicle appearance and reconditioning in the automotive dealership.,Automotive
GridVision is an IT automation and management platform.,"Enterprise Software,IT Management,PaaS,SaaS"
"Promote, track, and optimize your content across all channels in one place.","Advertising,Advertising Platforms,Marketing"
Commgenix Llc is a medical group.,"Health Care,Medical"
"RE 59 Nashville, TN. Real Estate","Advertising,Affiliate Marketing,Brand Marketing,Commercial Real Estate,Content Marketing,Digital Marketing,Direct Marketing,Direct Sales,Marketing,Real Estate,Real Estate Investment,Sales"
Axispoint is a global software development company providing robust custom software solutions.,"Document Management,Information Technology,Professional Services"
Contratanet is an integrated network of job portals for internships and jobs in Brazil. ,Recruiting
Infinnium is a software technology company.,"Machine Learning,Software"
Bolt POS is a cash register and retail management company,"Analytics,Mobile,Retail"
With Connect you have a complete payment solution and adjustable to the needs of their business.,Information Technology
GeoCosmo is a company developing an earthquake forecasting system.,Biotechnology
RJS Logistics is a transport company offering long-haul trucking services.,"Logistics,Transportation"
"EPAC, Canada's Oil and Gas Entrepreneurs¥Ë_, advocates on behalf of its member companies for sound government policy that promotes.",Government
"PS QuickIT has extensive experience building mobile app, web app and desktop application at enterprise and mid label. ","Apps,Cloud Computing,Customer Service,Software"
NOVA Probiotics produces a wide range of industry leading probiotics available through medical doctors and specialty stores.,"Dietary Supplements,Health Care"
"Here at Windsor Handyman we can handle any size of job, from a one hour repair to a complete bathroom or kitchen remodel.",Real Estate
MUNDOmedia is the global leader in data-driven performance marketing.,"Advertising,Digital Media,Publishing,Social Media"
Smart Data is the Software for the good of your business.,"Analytics,Information Services,Information Technology,Robotics"
"Aldetec specializes in the design, engineering, testing and manufacture of state-of-the-art, customized RF and Microwave Amplifiers.","Electronics,Manufacturing"
A unique overall solution where we can deliver products and services suitable for the Nordic market.,Marketplace
"Non-governmental, international research organization focused on accelerating introduction of vaccines in low and middle income countries","Association,Health Care"
"Built for Teams they make beautiful, powerful HR products for small- to mid-sized businesses.","Human Resources,Software"
"MetaScale is a big data accelerator that offers enterprises with a big data platform, solutions, services, and training.","Analytics,Big Data,Information Technology"
Minimum support as most of the work is done by you.,"Association,Information Technology,Software"
EuropeŒÇs leading sport supplement retailer/distributor,"Retail,Sports"
Urosphere provides preclinical models and services for translational drug development.,"Biotechnology,Pharmaceutical"
Promatch is India's first professional matrimony. Users can register with LinkedIn profile to find their life partner in same job domain.,"Apps,Internet,Professional Services"
Audio and Lighing Production,"Audio,Lighting,Video"
BKS Systems is a managed IT consulting company.,"Consulting,Information Technology"
bproperty.com is the largest real estate market place in Bangladesh.,Real Estate
5151 tuan.com is a website focused on group-purchase for fine living.,"Events,Real Estate,Restaurants"
Infoteck Service affaires is an information services company located in Shawinigan.,"Security,Information Services,Information Technology"
Real Estate Agent,Real Estate
We handle the details business owners would rather not deal with.,
Tokyoflash is a Japanese watch company.,"Hardware,Software"
EnerBee is an industrial start-up developing energy harvesters.,"Consumer Electronics,Electronics,Energy"
RCM Health Care Servicesäó» mission is to provide opportunities for qualified candidates across medical tjc-icon_360professions.,"Health Care,Medical"
"Silverweave delivers program management services for venture firms, non-profit institutions and corporations",Management Consulting
"Hire Movers is having wide range of moving services across the America country, for both commercial and residential purposes.","Logistics,Real Estate,Transportation"
ELGi has earned worldwide distinction for designing sustainable solutions,"Manufacturing,Renewable Energy"
Airport Transportation or Car/Taxi Service,"Travel,Transportation"
Poket is All-In-One Digital Customer Loyalty Software and it is DIY online platform.,"CRM,Gift Card,Loyalty Programs,Software"
Gergstore is India's first e-mail initiative from Golden Era Software Solutions and Consultancy.,"Retail,E-Commerce,Fashion"
Livelihood Life is modernizing the insurance experience for a new generation.,InsurTech
Agence Nationale des Frí©quences manages all radio frequencies in France.,"Government,Telecommunications,Wireless"
"Alvogen is an international, privately-owned specialty pharmaceutical company","Manufacturing,Marketing,Pharmaceutical"
Keystone Diesel Institute is a school in Butler.,
The easiest way to spread your thoughts to people near and far,"Apps,Mobile Apps"
"Plobal Tech is a social media platform that enables local startups to promote their latest events, offers, and information.",Social Media Management
Manpower supplies from Nepal to many gulf countries.,
"JR Cole Industries is a premier supplier of branded labels, folding cartons, shrink sleeves, folded literature, and tamper-evident banding.",Packaging Services
"La Universidad EIA es una institucií_n privada, de educacií_n superior, sin fines lucrativos, cuya misií_n es la formacií_n de profesionales","Education,Higher Education"
"Lifeistry, llc company research & investing information.",Fashion
Higher Heights for America is harnessing Black womenäó»s political power and leadership potential.,Politics
Expand Technology focuses on providing e-payment solutions and financial services and deploymeny of smartcard payment system.,"Loyalty Programs,Mobile Payments,Payments"
Shepherd Safety Systems is a start-up technology company devoted to protecting workers in all segments of the energy industry.,"Public Safety,Security"
Buchler & Partner is a company that uses innovative ideas to develop pioneering systems which take advantage of the sustainable benefits.,"Personal Development,Consulting,Professional Services"
OutOf7 Levy is a web company for IB schools online reporting solution.,"Online Portals,Internet,Internet of Things"
OpenTable meets Instagram + Stripe for Makeup Artists,"Apps,Beauty,Cosmetics,Fashion,Lifestyle,Location Based Services,Mobile,Social Media"
Stradigi Ventures is operating in stealth mode as a growth catalyst for innovative tech startups.,"Finance,Financial Services,Venture Capital"
Vision De Marques is a marketing and advertising company.,"Digital Marketing,Advertising,Marketing"
Lucky Fish CO is the exporter of value added seafood products.,"Food and Beverage,Seafood"
I offer unique methodology of self improvement - Spiritual Development and new religion - Shambalism. Change your life. Now. Forever.,"Health Care,Medical"
In Extenso International Services - Building your success,"Consulting,Legal,Real Estate"
TrendRadius that provides product managers with the data they need to make their important strategic decisions.,"Analytics,Product Management,Software"
Custom Enterprise Technology Development,"Consulting,Developer Tools,Internet,Software,Web Development"
Printsasia is a Japan-based online bookstore that provides a wide range of books and magazines to its users.,"E-Commerce,EBooks,Publishing,Universities"
Gautier Steel is one of the nation's producers of hot rolled carbon and alloy flats and sharp cornered squares.,"Machinery Manufacturing,Manufacturing"
EVER Pharma is a fully integrated specialty pharmaceuticals company.,"Medical,Pharmaceutical"
"NXT Robotics, provides service robots to support increased security monitoring and alerting requirements.","Artificial Intelligence,Machine Learning,Robotics,Security"
"The Hub is University of Toronto Scarborough's innovation and entrepreneurship incubator, located in Scarborough, Ontario.",
"WhiteHax is a unique multi-appliance, pre & post-infiltration, security-breach simulation platform,","Cyber Security,Information Technology"
Diversal is a company specializing in music production services and content-publishing.,"Advertising,Advertising Platforms,Art,Film,Photography,Psychology,Small and Medium Businesses"
"SingVax was set up in 2004, as Singapore's first vaccine development company. SingVax focuses on developing prophylactic vaccines for","Health Care,Medical"
"PennTex is a growth-oriented master limited partnership focused on owning, operating, acquiring and developing midstream energy.","Energy,Infrastructure,Logistics,Oil and Gas"
We are a community platform to enable collaboration between financial technologies.,"Communities,Information Technology"
Irelandäó»s Best Stag Party Weekends And Ideas.,
Freesist lets you find people who are willing to work for a valuable exchange rather than money.,"Financial Services,FinTech"
"Logic Design is a design, branding and innovation agency.","Innovation Management,Graphic Design"
"Sky Storage provides cloud-based synchronization, sharing, and data backup services.","Cloud Computing,E-Commerce,Enterprise Software,File Sharing,Flash Storage,Information Technology,Mobile,Software"
Little School is a company that offers pre-school education services.,
kandang.in is a agriculture affiliate marketing company located in Bandung.,"Affiliate Marketing,Agriculture,Marketing"
Management Systems Information Security,Software
Elevator pitches with real time feedback.,"Broadcasting,Crowdsourcing,Presentations"
Globe Window Cleaning is a cleaning service company.,"Service Industry,CleanTech,Facilities Support Services"
Autonomous aerial infrastructure inspection,"Autonomous Vehicles,Drones,Energy,Machine Learning,Power Grid"
Monchilla makes small business owners love accounting. First we make it super easy.,"Accounting,Financial Services"
"College of Idaho, Caldwell is a school in Caldwell.",
SuperMax Tools specializes in drum and brush sanders for the woodworking and metalworking industries.,"Industrial Engineering,Mechanical Engineering"
"XIM, Inc. is an experienced provider of outsource software development services with the main focus on mobile app and web development","Android,Information Technology,iOS,Mobile,Mobile Apps,Outsourcing,Web Development"
Warwick Analytics offers advanced predictive analytics and process automation. ,"Analytics,Artificial Intelligence,Software"
"Prime Meridian Bank is a bank specializes in business checking and savings, home mortgages, small business loans, and home equity loans.","Banking,Financial Services,FinTech,Venture Capital"
Clarion Partners is a diversified real estate investment firm.,"Commercial Real Estate,Real Estate,Real Estate Investment"
Towbin Motorcars is a car dealer.,"Sales,Automotive"
At Investor Analytics we enable financial professionals to make better decisions.,"Analytics,Credit,Finance,Financial Services,Machine Learning,Risk Management,SaaS"
"2Spark is an online platform that supports the transformation of your employees by asking them just two questions per day, every day.",Software
Serving healthy nutritional meals for professionals,"Fitness,Food and Beverage,Health Care"
"GLOBAL TRUST DEPOSITORY provides authentication reports, safekeeping receipts, and blocked asset letters to its users.",Finance
SWYF is an online clothing and accessories portal offering the latest fashion trendsŒæfrom designers all over the world.,"E-Commerce,Fashion,Social Media"
Fantasy sports for gamblers,"Fantasy Sports,Sports"
Full Service & Online Trading Brokerage,
Replay Analysis design for the web while being dedicated to the clarity and simplicity of good design.,Web Design
Unlimited Realities is a software developer of fingertapps and umajin products.,Software
Mahowald Insurance Agency is an insurance company offering commercial and personal insurance solutions.,Insurance
A online news paper from Bangladesh.,News
"IndicatorCapital is an early stage Venture Capital firm based in Sao Paulo, Brazil.",Venture Capital
"For all your financial management and bookkeeping service need in Point Cook , Teamwork Accounting experts is ideal choice.",Financial Services
Mobile App,
"IAC is the global leader in aircraft painting, interiors and graphics.",Aerospace
"Personal injury law firm in Chicago, IL","Consulting,Legal"
Cory Environmental Municipal Services is a privately held company that collects refuse and waste.,"Recycling,Waste Management"
Law office of Stephanie G. Ovadia is one of the best law service providing company. We are providing law service from last 30 Years.,Consulting
an IOT company with the sensor as the core,"Electronics,Hardware"
American Dehydrated Foods is a food & beverages company specializing in egg protein for pet food industry.,Food and Beverage
"Plumage is a network to connect tattoo artists and tattoo collectors, and anyone curious about the tattoo world.",Internet
KoalaPhone is an application that completely replaces the default phone user interface.,"Android,Apps,Mobile,Software"
"Creative Expressions Picture-Video Service helps business owners promote their products through video, picture, and social media.","Social Media Advertising,Video,Web Design"
SurfScanner helps surf shops and surf pros to increase their online sales with a unique marketplace dedicated to waterports,NULL
Brat is a teen-leaning digital production company.,"Digital Entertainment,Digital Media,Film Production,Media and Entertainment"
"Quantofica.com is an online platform that features prices of products and services, informations and discount coupons.","Content,Information Services,Online Portals,Professional Services,Security"
Systems integrator,"SaaS,Software"
Light Matters Foundation is a company for to improve the daily lives of families in developing countries by providing them with solar.,"Association,Energy,Health Care,Mining,Solar"
"The Glo Bag LLC was started by Jennifer Koutouras and Kendra Cunningham, two avid gym goers who were tired of their traditional gym.","E-Commerce,Fashion,Fitness,Sports"
Anaderm Research Corporation is a Biotechnology company.,Biotechnology
"Copernicus Therapeutics, Inc. (CTI) is a clinical stage biopharmaceutical company",Biotechnology
Pool safety Product and SaaS,NULL
ILB,
Fortlax is Northern Sweden's leading data center with three world-class facilities just outside Piteí«. ,"Hardware,Information Technology"
UniqueSound is the first platform for composers and sound creatives to showcase their work and get hired.,"Advertising,Internet,Music,Software"
SENATOR GmbH & Co is provider of customized and personalized desk supplies.,"Consumer,Manufacturing"
"PHI DATA BV is a solution integrator company processes through design, integration & maintenance of Auto-ID and datacollection solutions.","Electronics,Manufacturing"
A daily newspaper published in Luxembourg since 1848.  ,Broadcasting
xtraCHEF is a SaaS restaurant management platform for the restaurant industry to improve productivity and increase profits.,"Analytics,Hospitality,Mobile,Restaurants,SaaS,Sales Automation,Software"
Elegant Presentations is offering party rental equipment for parties and events.,Event Management
Nutmeg Education provides a web-based platform focusing on methods teachers use to educate their students and prepare for their classes.,"E-Learning,Education,Internet,Web Hosting"
"Raydiall Automotive is a high-tech company dedicated to the design, development and manufacturing of automotive interconnection systems.","Electric Vehicle,Manufacturing,Automotive"
"Pocket Group, a mobile entertainment and mobile music specialist, provides mobile technology, content, and marketing services to operators.","Digital Entertainment,Marketing,Software,Wireless"
Operator of online businesses and boutique consultancy firm,"Consulting,Internet"
"The premier ad network that specializes in representing political parties, candidates, independent expenditure committees.","Ad Network,Advertising,Advertising Platforms,Marketing"
StraViso is a technology solutions company delivering accelerated business value to its customers using its AI powered platforms.,"Architecture,Database,Information Technology"
Collect construction production process data.,"Construction,Media and Entertainment,Real Estate"
Real Estate,Real Estate
GIF Brewery is a Mac desktop application that created GIFs from videos.,"Mobile Apps,Mobile Devices,Video"
Passagemaker Magazine provides stories and in depth technical information of yachting industry.,Publishing
"Charles Mo & Co., a corporate consulting company, and focuses on general management duties.",Consulting
Systron Donner is a supplier of quartz microelectromechanical systems (QMEMS).,"Aerospace,CRM,Virtual Reality"
Optime Consulting is a marketing and advertising company that offers video production and sales services.,"Advertising,Consulting,CRM,Legal,Video"
HIAS is a Jewish non-profit organization engaged in protecting refugees whose lives are in danger for being who they are.,Non Profit
"Scenes is an app that enables users to stay connected with new way call texScene, text+photo/video= texScene.","Messaging,Social Network,Video Chat"
Cumbre Pharmaceuticals is a Health Care company.,"Health Care,Medical"
"Acara Global is a private organization that invests, develops and commercializes breakthrough product platforms.","Banking,Financial Services,FinTech"
Social Villa Booking,"Social Media,Sports,Travel"
DiMAZ AG is a marketing company that specializes in Swiss telemarketing inbound and outbound service sectors.,"Customer Service,Telecommunications,Marketing"
Focus Internet Services is a digital marketing company that focuses on search engine optimization.,"Advertising,SEO"
"foreignadmits is a mobile career coaching platform for higher education aspirants using data sciences, AI  & human experiential guidance.","EdTech,Higher Education,Education,Career Planning,Universities"
Wwire is a Russia startup company that creates digital objects to link real and virtual lives.,"Mobile,Mobile Apps,Service Industry"
"Open Inclusion specializes in providing inclusive research, design, and solutions.","Product Research,UX Design,Information Technology"
Dingdong Zhihuan is a Fintech company.,"Financial Services,FinTech"
"Ensign InfoSecurity, Southeast Asiaäó»s largest cybersecurity provider.","Blockchain,Cryptocurrency"
"Walerud Ventures joins pre-seed and seed stage companies as investors, advisors and part-time employees. Sectors: deep tech and impact tech.",
"Pricedex Software Inc. is a developer of world-class product, part and pricing information management (PIM) solutions.","Information Technology,Software"
FixturePronto is a site for store fixtures and displays.,Commercial
NrgStorEdge is a patented energy storage technology for safe and inexpensive use in zero-emission hydrogen-powered vehicles.,Oil and Gas
ON.Lab brings open source communities together with innovative Cloud-based services.,Non Profit
MediTec is a software offers efficient workflows and transparent patient processes.,Software
"Laforme was award winning digital agency, dedicated to service institutional clients and brands with challenging digital solutions","Advertising,Information Technology"
Eneco Group is a group of companies that is active in the energy sector.,"Environmental Engineering,Renewable Energy"
Ahresty Wilmington Corporation is an automotive company that manufactures die casting.,"Automotive,Manufacturing"
"Mexican Cuisine in Irvine, CA",Restaurants
Glenergy is a renewable energy energy company located in Petawawa.,"Energy,Environmental Consulting,Renewable Energy"
AI for Smarter Business Operations,
"Fast, visual and collaborative game and narrative design --in your browser","Gaming,Information Technology,Productivity Tools,SaaS"
Bonfire studios is an independent game studio in Orange County California,"Gaming,Online Games"
Durdle.Com is an entrepreneurial CTO.,"Data Center,Database,Service Industry"
Sourcibo Global Sourcing Platform that will helps you expand more business opportunities.,B2B
Hartford Business Journal is all about DELIVERING BUSINESS to our community.,News
Saracen Ventures,
Online Employment - Recruitment Exchange,"Consulting,Employment,Recruiting"
Shape minds and moving images gmbh is a mobile app developer company and developed apps like little fox music bo,"Education,Music"
La Nacional provides money transfer services through retail stores and agents.,"Consumer,E-Commerce,Finance,Financial Services,Lending"
DAVID Corporation has been providing software and services to commercial and alternative P&C insurance markets for more than 27 years.,"Financial Services,Risk Management,Software"
"BlueWare is an International Strategic Healthware Solutions corporation located in Cadillac, Michigan.",Software
Paralax is designing and implementing personnel planning software.,"Project Management,Software"
HALO2CLOUD distributes consumer electronics for homes worldwide.,"Hardware,Software"
Soundover is a nearby sharing platform. Our technology allows devices to discover each other based on sounds and location data.,"Information Technology,Internet of Things,Location Based Services,Mobile,Software"
"Stiplastics S.A.S. engages in designing, developing, and manufacturing medical devices.","Health Care,Manufacturing,Medical Device"
Hookfy is a privately held company and an aggregator of second-hand market platforms that allows you to search.,Software
"Drupal, Magento, Open Source, Web Design, E-commerce, Laravel, Vue JS, Support, Outsourcing",NULL
"DDNews, a monthly newspaper dedicated to the news of technology and business in the pharmaceutical and biotechnology industries.","Biotechnology,News"
Online Music Distribution,"Internet,Logistics,Music"
Huazhong University of Science and Technology is a school.,"Information Technology,Innovation Management,Universities"
OPTResume Is The USAäó»s Largest Resource For OPT Employers And Job Seekers.,NULL
Fueladream is a crowdfunding platform.,"Crowdfunding,Financial Services"
Waabeh is an online and mobile app-based music market that specializes in African music.,"Digital Media,Music"
"A mobile fitness app with interactive training programs worldäó»s best personal trainers at your fingertips - anytime, anywhere.","Apps,Fitness,Health Care"
RetailCRM is a online retailers platform,"E-Commerce,Marketplace,Software"
EcoWaste SA offers a complete range of ecological products and services for optimizing the management of all types of waste.,"Environmental Consulting,Renewable Energy"
Consulus is a consulting firm that specializes in design and business management.,"Brand Marketing,Consulting"
Slate is software and an extension that enables its users to understand and rectify spreadsheets.,Apps
Empresa de desenvolvimento de software com foco em dispositivos mí_veis,Software
Ruixin Asset Management is an asset management center in China.,Asset Management
Alpine App LLC is a company which develops medical apps for iPhon,"Apps,Health Care,Mobile"
Blood & Plasma Donation Centers.,Health Care
Better Health Network is an Accountable Care Entity serving Medicaid recipients in the south and west communities of Chicago .,Health Care
Boxes and Bytes Technologies are a Mail and Parcel Center. We have services for all your business needs.,"Consumer Goods,Information Technology"
Begin manufactures organic infant formula delivered direct-to-consumer.,"Consumer Goods,E-Commerce,Food and Beverage,Manufacturing"
Online Privacy solutions for people,"Cyber Security,E-Commerce,Information Technology,Internet,Robotics,Software"
MEO Walletn provides digital payment services .  ,"Apps,Payments"
"El Dorado Bag began working with consumer packaging, and the manufacturing of Self Opening Sacks","Agriculture,Animal Feed"
"Governor Technology is a tech company specializing in mobile and web app development, data protection, and privacy impact assessment.","CRM,Mobile,Software,Web Development"
"Your home to over 2,500 Free Games.","Gaming,Internet"
Online alternative investment startup,"Financial Services,Risk Management,Security"
Accounting-Professional Services,"Consulting,Human Resources"
Sps West is a oil and gas company located in Calgary.,"Energy,Oil and Gas"
Leading web design company in chennai.,"Internet,Software,Web Design,Web Development"
"Vertical Circuits supplies advanced die level vertical interconnect packaging technology, products, services and intellectual property.","Intellectual Property,Semiconductor,Service Industry"
100TB and Dedicated Servers | VPS,Web Hosting
RIISE Ventures is a tech enterprise reimagining innovation in sports and entertainment.,Sports
Scheeräó»s is provides bond and insurance-related products and services for the businesses.,"Employee Benefits,Insurance,Risk Management"
D2S designs and develops software and IPs that facilitate direct write e-beam lithography for the production of SoC integrated circuits.,"Manufacturing,Semiconductor,Software"
"Twin Cities Solutions, Inc. is a privately owned information technology solutions firm.","Consulting,Government,Information Technology"
Datum Invest is an investment company founded by Jan Haudemann-Andersen in 1986.,
Purva Summit is an commercial developement with modern designs for office space by Purvankara.,Real Estate
JMS United offers a wide range of BPO services tailored to the operational needs of each client.,"Consulting,Human Resources,Information Technology,Outsourcing,Recruiting,Staffing Agency"
EQ Magazine is an international magazine that focuses on India's environmental issues.,"Association,Events,Lifestyle,News,Publishing"
Schedulytics bringing our latest and greatest schedule optimizing engine to the world of high-value medical staff scheduling.,Health Care
A automation Technology Company.,Information Services
"The Austin Phoenix is a magazine for and about local entrepreneurs and startups in Austin, TX.","News,Publishing"
Jetski Rental Company,
Vihebo Sport is where you go to get your daily does of football stories from around the globe.,"News,Publishing,Social Media,Sports"
Fitness Easy,Health Care
Futureware provides a service development websites and mobile applications.,"Information Technology,Mobile Apps,Web Development"
Mitta is a diversified consultancy firm specializing in construction services.,"Civil Engineering,Construction"
